#   Iter      elem1   elem2   elem3
       0     288     288     288
       0     288     289     287
       0     287     290     287
       0     287     287     290
       0     289     286     289
       0     290     286     288
       0     289     286     289
       0     291     285     288
       0     292     285     287
       0     289     286     289
       0     290     286     288
       0     291     286     287
       0     290     288     286
       0     290     288     286
       0     290     289     285
       0     289     290     285
       0     288     291     285
       0     287     291     286
       0     288     291     285
       0     286     292     286
       0     286     292     286
       0     287     294     283
       0     287     293     284
       0     286     295     283
       0     284     296     284
       0     282     297     285
       0     283     296     285
       0     283     296     285
       0     284     294     286
       0     285     294     285
       0     285     294     285
       0     287     293     284
       0     287     291     286
       0     287     291     286
       0     287     292     285
       0     287     291     286
       0     286     292     286
       0     286     292     286
       0     285     293     286
       0     285     294     285
       0     286     294     284
       0     288     295     281
       0     289     294     281
       0     290     291     283
       0     289     292     283
       0     292     292     280
       0     293     291     280
       0     294     290     280
       0     295     289     280
       0     294     290     280
       0     292     292     280
       0     292     292     280
       0     293     292     279
       0     295     290     279
       0     295     289     280
       0     296     288     280
       0     297     288     279
       0     295     290     279
       0     297     288     279
       0     296     291     277
       0     294     293     277
       0     295     292     277
       0     293     294     277
       0     294     294     276
       0     294     294     276
       0     294     294     276
       0     295     294     275
       0     294     296     274
       0     294     296     274
       0     294     295     275
       0     293     294     277
       0     294     293     277
       0     295     292     277
       0     294     290     280
       0     294     290     280
       0     293     291     280
       0     292     290     282
       0     292     289     283
       0     295     288     281
       0     295     287     282
       0     295     287     282
       0     295     288     281
       0     295     288     281
       0     295     288     281
       0     296     287     281
       0     296     287     281
       0     294     289     281
       1     293     290     281
       1     293     290     281
       1     293     290     281
       1     292     291     281
       1     295     287     282
       1     295     287     282
       1     294     288     282
       1     295     288     281
       1     296     289     279
       1     296     289     279
       1     296     289     279
       1     296     289     279
       1     296     289     279
       1     298     288     278
       1     297     289     278
       1     296     289     279
       1     295     290     279
       1     295     290     279
       1     295     291     278
       1     294     291     279
       1     293     291     280
       1     293     293     278
       1     293     293     278
       1     293     295     276
       1     292     296     276
       1     292     296     276
       1     290     297     277
       1     289     298     277
       1     289     298     277
       1     288     299     277
       1     288     299     277
       1     289     298     277
       1     289     299     276
       1     289     299     276
       1     291     298     275
       1     289     298     277
       1     289     298     277
       1     287     300     277
       1     284     301     279
       1     283     302     279
       1     283     301     280
       1     283     300     281
       1     285     299     280
       1     285     300     279
       1     285     300     279
       1     287     300     277
       1     286     301     277
       1     285     301     278
       1     284     302     278
       1     284     302     278
       1     283     303     278
       1     284     301     279
       1     283     303     278
       1     283     303     278
       1     282     302     280
       1     282     302     280
       1     283     302     279
       1     283     302     279
       1     284     300     280
       1     284     300     280
       1     284     299     281
       1     283     301     280
       1     285     300     279
       1     283     301     280
       1     282     302     280
       1     281     303     280
       1     280     304     280
